년월,전지구,마우나로아(미국),안면도,
201306,520.8,522.2,526.2,
201307,520.3,521.9,524.4,
201308,520.0,522.5,,
201309,520.0,522.8,,
201310,519.7,522.0,,
201311,519.5,521.8,,
201312,519.2,520.7,524.8,
201401,519.1,520.2,526.3,
201402,519.0,521.0,522.9,
201403,518.8,520.7,522.2,
201404,518.4,520.6,532.1,
201405,518.0,520.1,531.4,
201406,517.4,519.9,521.3,
201407,517.2,520.0,520.9,
201408,517.3,519.3,522.7,
201409,517.4,519.0,,
201410,517.2,519.0,519.0,
201411,517.0,518.8,515.3,
201412,516.8,518.4,,
201501,516.6,518.3,,
201502,516.2,517.9,,
201503,516.0,517.6,,
201504,515.9,516.9,,
201505,515.3,517.0,515.2,
201506,514.6,516.2,516.9,
201507,514.3,516.1,513.2,
201508,514.0,515.4,516.0,
201509,513.9,515.2,517.1,
201510,513.9,515.1,,
201511,513.8,515.0,521.1,
201512,513.6,515.3,520.8,
201601,513.5,515.4,,
201602,513.4,514.7,514.1,
201603,513.1,513.9,513.6,
201604,512.9,513.8,515.6,
201605,512.6,513.1,516.7,
201606,512.2,512.3,516.7,
201607,511.8,511.9,514.7,
201608,511.4,511.6,514.5,
201609,511.1,511.5,514.7,
201610,510.7,511.5,514.9,
201611,510.3,511.4,514.9,
201612,510.1,510.7,514.5,
201701,509.9,510.6,514.9,
201702,509.6,510.0,514.0,
201703,509.3,509.8,514.6,
201704,509.0,509.5,510.8,
201705,508.5,508.8,509.6,
201706,508.3,508.8,510.1,
201707,508.2,508.4,509.2,
201708,508.1,506.8,508.7,
201709,507.8,507.0,509.6,
201710,507.7,507.2,508.7,
201711,507.5,507.6,503.8,
201712,507.4,507.6,502.4,
201801,507.2,507.5,503.2,
201802,507.2,507.2,503.4,
201803,507.0,507.0,504.3,
201804,506.7,506.8,505.3,
201805,506.2,506.2,505.1,
201806,505.7,506.3,504.9,
201807,505.2,505.5,504.0,
201808,504.8,505.4,503.6,
201809,504.5,505.6,499.9,
201810,504.4,505.4,500.0,
201811,504.4,505.5,,
201812,504.0,505.7,,
201901,503.5,505.6,,
201902,503.2,504.3,,
201903,502.8,504.6,,
201904,502.3,504.0,,
201905,501.9,503.0,,
201906,501.5,501.6,497.6,
201907,501.0,501.1,496.4,
201908,500.6,500.9,496.3,
201909,500.2,500.5,498.9,
201910,500.0,500.1,498.4,
201911,499.7,500.1,498.5,
201912,499.3,499.9,498.8,
202001,498.9,499.5,499.2,
202002,498.5,499.2,498.8,
202003,498.1,498.8,498.6,
202004,497.9,498.5,498.1,
202005,497.6,498.2,497.1,
202006,497.3,498.0,496.8,
202007,496.9,497.6,496.0,
202008,496.7,497.3,495.6,
202009,496.7,497.0,495.7,
202010,496.3,496.8,495.3,
202011,495.7,496.1,495.4,
202012,495.2,495.9,495.3,
